id,name,nameDisplay,abv,isOrganic,isRetired,createDate,updateDate,glass.name,style.category.name,style.category.createDate,style.name,style.shortName,style.ibuMin,style.ibuMax,style.abvMin,style.abvMax,style.srmMin,style.srmMax,style.ogMin,style.fgMin,style.fgMax,style.createDate,style.updateDate,ibu,available.name,year,style.ogMax,srm.name,servingTemperature,style.category.updateDate
Tqu2Of,Pandora's Bock,Pandora's Bock,7.5,N,Y,2012-01-03 02:43:55,2018-11-02 02:15:14,Pint,European-germanic Lager,2012-03-21 20:06:46,Traditional German-Style Bock,Bock,20.0,30.0,6.3,7.5,20.0,30.0,1.0659999999999998,1.018,1.024,2012-03-21 20:06:46,2015-04-07 15:38:54,16.0,Not Available,,,,,
gpCMad,Passion Blaster,Passion Blaster,6.0,N,N,2018-03-12 18:12:43,2018-11-02 02:15:14,,Hybrid/mixed Beer,2012-03-21 20:06:46,Fruit Beer,Fruit Beer,5.0,70.0,2.5,12.0,5.0,50.0,1.03,1.006,1.03,2012-03-21 20:06:46,2015-04-07 15:44:21,15.0,,,,,,
yjsHPX,Passion Fruit Milkshake Ipa,Passion Fruit Milkshake Ipa,6.2,N,N,2018-10-07 21:26:30,2018-11-02 02:15:14,,North American Origin Ales,2012-03-21 20:06:45,Juicy or Hazy India Pale Ale,Juicy or Hazy IPA,50.0,70.0,6.3,7.5,4.0,7.0,1.06,1.008,1.016,2018-08-16 14:03:57,,,,,1.07,,,
Ln4Gn6,Passion Fruit Pinner,Passion Fruit Pinner,4.9,N,N,2016-07-17 15:34:15,2018-11-02 02:15:14,,North American Origin Ales,2012-03-21 20:06:45,Session India Pale Ale,Session IPA,,,,,,,,,,2015-04-07 17:07:27,,40.0,,,,,,
QkHinm,Passion Grass,Passion Grass,5.0,N,N,2018-08-03 14:09:20,2018-11-02 02:15:14,,North American Origin Ales,2012-03-21 20:06:45,American-Style Pale Ale,American Pale,30.0,42.0,4.5,5.6,6.0,14.0,1.044,1.008,1.014,2012-03-21 20:06:45,2015-04-07 15:25:18,54.0,,,,,,
Y9X4cN,Pat-Rye-Ot,Pat-Rye-Ot,5.6,N,N,2016-05-22 14:28:06,2018-11-02 02:15:14,,North American Origin Ales,2012-03-21 20:06:45,American-Style Pale Ale,American Pale,30.0,42.0,4.5,5.6,6.0,14.0,1.044,1.008,1.014,2012-03-21 20:06:45,2015-04-07 15:25:18,39.0,,,,,,
AJwGIV,Peach IPA,Peach IPA,5.8,N,N,2017-05-19 20:39:41,2018-11-02 02:15:14,,North American Origin Ales,2012-03-21 20:06:45,American-Style India Pale Ale,American IPA,50.0,70.0,6.3,7.5,6.0,14.0,1.06,1.012,1.018,2012-03-21 20:06:45,2015-04-07 15:26:37,,,,,,,
dRGLDH,Peach-a-Rita,Peach-a-Rita,8.0,N,N,2018-07-30 14:33:54,2018-11-02 02:15:14,,Malternative Beverages,2014-07-10 14:11:26,Flavored Malt Beverage,Flavored Malt Beverage,,,4.0,6.0,,,,,,2014-07-10 14:15:20,2015-04-07 15:49:43,,,,,,,2014-07-10 14:20:24
KnIZVN,Peach/Blueberry Hefeweizen,Peach/Blueberry Hefeweizen,,Y,N,2015-07-15 16:36:30,2018-11-02 02:15:14,,Hybrid/mixed Beer,2012-03-21 20:06:46,Fruit Beer,Fruit Beer,5.0,70.0,2.5,12.0,5.0,50.0,1.03,1.006,1.03,2012-03-21 20:06:46,2015-04-07 15:44:21,,,,,,,
eCmjOc,Pear Champagne,Pear Champagne,5.3,Y,N,2015-07-14 21:21:18,2018-11-02 02:15:14,,North American Origin Ales,2012-03-21 20:06:45,Golden or Blonde Ale,Blonde,15.0,25.0,4.0,5.0,3.0,7.0,1.045,1.008,1.016,2012-03-21 20:06:46,2015-04-07 15:27:26,22.0,,,,,,
UmJ5Wm,Pecan Porter,Pecan Porter,8.0,N,N,2017-08-01 17:32:47,2018-11-02 02:15:14,,British Origin Ales,2012-03-21 20:06:45,Brown Porter,Brown Porter,20.0,30.0,4.5,6.0,20.0,35.0,1.04,1.006,1.014,2012-03-21 20:06:45,2015-04-07 15:21:43,,,,,,,
QdCdco,Pele (Brazilian Pale Ale),Pele (Brazilian Pale Ale),7.1,N,N,2014-09-05 02:58:31,2018-11-02 02:15:14,,International Ale Styles,2012-03-21 20:06:46,International-Style Pale Ale,International Pale,30.0,42.0,4.5,5.5,6.0,14.0,1.044,1.008,1.014,2012-03-21 20:06:46,2015-04-07 15:35:08,,,,,,,
7zuKpR,Philly Tripel Plan B,Philly Tripel Plan B,8.0,N,N,2014-05-21 11:20:01,2018-11-02 02:15:14,,Belgian And French Origin Ales,2012-03-21 20:06:46,Belgian-Style Pale Ale,Belgian Pale,20.0,30.0,4.0,6.0,6.0,12.0,1.044,1.008,1.014,2012-03-21 20:06:46,2015-04-07 15:32:06,,,,,,,
XHB8Tj,Pilgrim's Dole,Pilgrim's Dole,12.0,N,N,2014-09-10 13:36:30,2018-11-02 02:15:14,Tulip,North American Origin Ales,2012-03-21 20:06:45,American-Style Wheat Wine Ale,Wheatwine,45.0,85.0,8.4,12.0,8.0,15.0,1.088,1.024,1.032,2012-03-21 20:06:46,2015-04-07 15:27:17,30.0,Seasonal,,,,,
1yMrDb,Pils,Pils,6.2,N,N,2012-01-03 02:43:57,2018-11-02 02:15:14,Pint,European-germanic Lager,2012-03-21 20:06:46,German-Style Pilsener,German Pilsener,25.0,40.0,4.0,5.0,3.0,4.0,1.044,1.006,1.012,2012-03-21 20:06:46,2015-04-07 15:35:59,35.0,Year Round,,,,,
aPMdQj,Pimp My Ride,Pimp My Ride,7.8,N,N,2014-04-14 09:09:49,2018-11-02 02:15:14,,North American Origin Ales,2012-03-21 20:06:45,Imperial or Double India Pale Ale,Imperial IPA,65.0,100.0,7.5,10.5,5.0,13.0,1.075,1.012,1.02,2012-03-21 20:06:45,2015-04-07 15:26:46,,,,,,,
NAfiYn,Pine-Apple-Rita,Pine-Apple-Rita,8.0,N,N,2018-07-27 17:04:57,2018-11-02 02:15:14,,Malternative Beverages,2014-07-10 14:11:26,Flavored Malt Beverage,Flavored Malt Beverage,,,4.0,6.0,,,,,,2014-07-10 14:15:20,2015-04-07 15:49:43,,,,,,,2014-07-10 14:20:24
0j4t2Z,Pinnacle Peak Pale Ale,Pinnacle Peak Pale Ale,4.2,N,N,2012-01-03 02:43:58,2018-11-02 02:15:14,,North American Origin Ales,2012-03-21 20:06:45,American-Style Pale Ale,American Pale,30.0,42.0,4.5,5.6,6.0,14.0,1.044,1.008,1.014,2012-03-21 20:06:45,2015-04-07 15:25:18,,,,,,,
52gmSJ,Pinner Throwback IPA,Pinner Throwback IPA,4.9,N,N,2015-01-19 22:41:23,2018-11-02 02:15:14,,North American Origin Ales,2012-03-21 20:06:45,Session India Pale Ale,Session IPA,,,,,,,,,,2015-04-07 17:07:27,,35.0,,,,,,
6Q7pkn,Pitch-A-Tent,Pitch-A-Tent,9.0,N,N,2012-01-03 02:43:58,2018-11-02 02:15:14,Pint,,,,,,,,,,,,,,,,,Limited,,,,,
7aZN1V,Plum Gose,Plum Gose,4.5,N,N,2017-04-14 12:50:02,2018-11-02 02:15:14,,German Origin Ales,2012-03-21 20:06:46,Leipzig-Style Gose,Leipzig Gose,10.0,15.0,4.4,5.4,3.0,9.0,1.036,1.008,1.012,2012-03-21 20:06:46,2015-04-07 17:09:35,,,,,,,
L6Lk8r,Plum Jasmine Gose,Plum Jasmine Gose,9.6,N,N,2017-09-20 17:51:30,2018-11-02 02:15:14,,North American Origin Ales,2012-03-21 20:06:45,American-Style Sour Ale,Sour,,,,,,,,,,2012-03-21 20:06:46,2015-04-07 15:28:32,,,,,,,
AY6Jg8,Point Defiance IPA,Point Defiance IPA,6.1,N,N,2012-01-03 02:43:58,2018-11-02 02:15:14,,North American Origin Ales,2012-03-21 20:06:45,American-Style India Pale Ale,American IPA,50.0,70.0,6.3,7.5,6.0,14.0,1.06,1.012,1.018,2012-03-21 20:06:45,2015-04-07 15:26:37,70.0,,,,,,
hbf2am,Pomona Queen,Pomona Queen,4.8,N,N,2015-08-14 16:39:37,2018-11-02 02:15:14,Pint,North American Lager,2012-03-21 20:06:46,American-Style Amber Lager,American Amber Lager,18.0,30.0,4.8,5.4,6.0,14.0,1.042,1.01,1.018,2012-03-21 20:06:46,2015-04-07 15:41:26,13.0,Year Round,,,7,cold,
T9hizi,Pond Scum,Pond Scum,,N,N,2013-05-03 21:37:48,2018-11-02 02:15:14,,British Origin Ales,2012-03-21 20:06:45,Ordinary Bitter,Bitter,20.0,35.0,3.0,4.1,5.0,12.0,1.033,1.006,1.012,2012-03-21 20:06:45,2015-04-07 15:18:39,,Limited,,,,,
cglNbC,Port Barrel Aged Biere De Garde,Port Barrel Aged Biere De Garde,10.2,N,N,2017-09-20 20:19:40,2018-11-02 02:15:14,,Belgian And French Origin Ales,2012-03-21 20:06:46,French-Style Bière de Garde,Bière de Garde,20.0,30.0,4.5,8.0,8.0,16.0,1.06,1.012,1.024,2012-03-21 20:06:46,2015-04-07 15:34:08,15.0,,,,,,
0K21pW,Porter,Porter,5.6,N,N,2012-01-03 02:43:59,2018-11-02 02:15:14,Pint,British Origin Ales,2012-03-21 20:06:45,Brown Porter,Brown Porter,20.0,30.0,4.5,6.0,20.0,35.0,1.04,1.006,1.014,2012-03-21 20:06:45,2015-04-07 15:21:43,32.0,,,,Over 40,,
aBYXhp,Porter Porter,Porter Porter,7.5,N,Y,2012-01-03 02:43:59,2018-11-02 02:15:14,Pint,British Origin Ales,2012-03-21 20:06:45,Robust Porter,Robust Porter,25.0,40.0,5.0,6.5,30.0,30.0,1.045,1.008,1.016,2012-03-21 20:06:45,2015-04-07 15:21:45,21.0,Not Available,,,,,
bFMDB3,Portsmouth Barleywine,Portsmouth Barleywine,11.0,N,N,2014-11-16 18:39:31,2018-11-02 02:15:14,Tulip,North American Origin Ales,2012-03-21 20:06:45,American-Style Barley Wine Ale,American Barleywine,60.0,100.0,8.4,12.0,11.0,22.0,1.09,1.024,1.028,2012-03-21 20:06:46,2015-04-07 15:27:08,100.0,,,,,,
bZ8hmu,Potato Schwarzbier,Potato Schwarzbier,4.9,Y,N,2015-07-15 16:54:08,2018-11-02 02:15:14,,European-germanic Lager,2012-03-21 20:06:46,German-Style Schwarzbier,Schwarzbier,22.0,30.0,3.8,5.0,25.0,30.0,1.044,1.01,1.016,2012-03-21 20:06:46,2015-04-07 15:37:12,26.0,,,,,,
UBcopK,Premium 219 Pilsner,Premium 219 Pilsner,4.7,N,N,2014-07-23 12:25:10,2018-11-02 02:15:14,Pilsner,North American Lager,2012-03-21 20:06:46,American-Style Pilsener,American Pilsener,25.0,40.0,5.0,6.0,3.0,6.0,1.045,1.012,1.018,2012-03-21 20:06:46,2015-04-07 15:40:08,,Year Round,,,,,
RDSydO,Prince Myshkin,Prince Myshkin,9.0,N,N,2014-05-28 12:07:44,2018-11-02 02:15:14,,North American Origin Ales,2012-03-21 20:06:45,American-Style Imperial Stout,American Imperial Stout,50.0,80.0,7.0,12.0,40.0,40.0,1.08,1.02,1.03,2012-03-21 20:06:46,2015-04-07 15:28:49,,,,,,,
AWdfjO,Priscilla,Priscilla,5.2,N,N,2013-11-25 14:18:43,2018-11-02 02:15:14,,Belgian And French Origin Ales,2012-03-21 20:06:46,Belgian-Style White (or Wit) / Belgian-Style Wheat,Witbier,10.0,17.0,4.8,5.2,2.0,4.0,1.044,1.006,1.01,2012-03-21 20:06:46,2015-04-07 15:32:30,20.0,,,,,,
y5dpHI,Prisoner of Hell,Prisoner of Hell,8.0,N,N,2014-04-14 09:09:28,2018-11-02 02:15:14,,Belgian And French Origin Ales,2012-03-21 20:06:46,Belgian-Style Blonde Ale,Belgian Blonde,15.0,30.0,6.0,7.8,4.0,7.0,1.054,1.008,1.014,2012-03-21 20:06:46,2015-04-07 15:32:01,,,,,,,
NQwb75,Puck American Pale Ale,Puck American Pale Ale,5.2,Y,N,2015-07-14 20:59:11,2018-11-02 02:15:14,,North American Origin Ales,2012-03-21 20:06:45,American-Style Pale Ale,American Pale,30.0,42.0,4.5,5.6,6.0,14.0,1.044,1.008,1.014,2012-03-21 20:06:45,2015-04-07 15:25:18,,,,,,,
LDo4fA,Puff The Magic Cyser,Puff The Magic Cyser,8.5,N,N,2014-03-21 12:44:59,2018-11-02 02:15:14,,"Mead, Cider, & Perry",2012-03-21 20:06:46,Cyser (Apple Melomel),Cyser,,,,,,,,,,2012-03-21 20:06:46,2015-04-07 15:48:14,,Limited,,,,,
FMWVLR,Puget Brown Porter,Puget Brown Porter,5.6,N,N,2012-01-03 02:44:01,2018-11-02 02:15:14,,British Origin Ales,2012-03-21 20:06:45,Brown Porter,Brown Porter,20.0,30.0,4.5,6.0,20.0,35.0,1.04,1.006,1.014,2012-03-21 20:06:45,2015-04-07 15:21:43,,,,,,,
EbwOyu,Pulled Porter,Pulled Porter,7.7,N,N,2015-11-24 15:12:21,2018-11-02 02:15:14,,North American Origin Ales,2012-03-21 20:06:45,Smoke Porter,Smoke Porter,20.0,40.0,5.0,8.7,20.0,20.0,1.04,1.006,1.014,2012-03-21 20:06:46,2015-04-07 15:27:41,,,,,,,
UimBmb,Pumpkin Chub,Pumpkin Chub,8.0,N,N,2014-11-15 18:42:45,2018-11-02 02:15:14,,Hybrid/mixed Beer,2012-03-21 20:06:46,Pumpkin Beer,Pumpkin Beer,5.0,70.0,2.5,12.0,5.0,50.0,1.03,1.006,1.03,2012-03-21 20:06:46,2015-04-07 15:44:28,,,,,37,,
EyM4tM,Pumpkin Spice Latte : Nitro Series,Pumpkin Spice Latte : Nitro Series,5.5,N,N,2016-09-03 17:44:31,2018-11-02 02:15:14,,North American Origin Ales,2012-03-21 20:06:45,American-Style Stout,American Stout,35.0,60.0,5.7,8.8,40.0,40.0,1.05,1.01,1.022,2012-03-21 20:06:46,2015-04-07 15:28:43,11.0,,,,,,
otVuwu,Purebred A.P.A. Citra,Purebred A.P.A. Citra,6.2,N,N,2013-05-02 18:24:38,2018-11-02 02:15:14,Pint,North American Origin Ales,2012-03-21 20:06:45,American-Style Strong Pale Ale,American Strong Pale,40.0,50.0,5.5,6.3,6.0,14.0,1.05,1.008,1.016,2012-03-21 20:06:45,2015-04-07 15:26:32,67.8,Year Round,,,5,,
I1L4J0,Quinn's Amber Ale,Quinn's Amber Ale,4.8,N,N,2013-05-09 15:42:14,2018-11-02 02:15:14,Pint,North American Origin Ales,2012-03-21 20:06:45,American-Style Amber/Red Ale,Amber,30.0,40.0,4.5,6.0,11.0,18.0,1.048,1.012,1.018,2012-03-21 20:06:45,2015-04-07 15:26:52,19.0,Spring,,,,,
OAko81,R. Prime,R. Prime,6.2,N,N,2015-04-06 18:40:32,2018-11-02 02:15:14,,North American Origin Ales,2012-03-21 20:06:45,American-Style India Pale Ale,American IPA,50.0,70.0,6.3,7.5,6.0,14.0,1.06,1.012,1.018,2012-03-21 20:06:45,2015-04-07 15:26:37,65.0,,,,,,
otkATx,Rain Check,Rain Check,,N,N,2014-05-28 12:07:10,2018-11-02 02:15:14,,North American Origin Ales,2012-03-21 20:06:45,Specialty Stouts,Stout,35.0,50.0,7.0,12.0,40.0,40.0,1.08,1.02,1.03,2012-03-21 20:06:46,2015-04-07 15:28:58,,,,,,,
s1eqWg,Rainy Day Blues,Rainy Day Blues,6.0,Y,N,2015-07-14 20:29:31,2018-11-02 02:15:14,,Other Lager,2012-03-21 20:06:46,Baltic-Style Porter,Baltic Porter,35.0,40.0,7.5,9.0,40.0,40.0,1.072,1.016,1.022,2012-03-21 20:06:46,2015-04-07 15:41:46,25.0,,,,,,
WUHF66,Rascal's Wild Red,Rascal's Wild Red,8.0,N,N,2014-08-28 17:52:15,2018-11-02 02:15:14,,Hybrid/mixed Beer,2012-03-21 20:06:46,Fruit Beer,Fruit Beer,5.0,70.0,2.5,12.0,5.0,50.0,1.03,1.006,1.03,2012-03-21 20:06:46,2015-04-07 15:44:21,,,,,,,
NCsyAW,Raz-Ber-Rita,Raz-Ber-Rita,8.0,N,N,2015-01-07 13:39:58,2018-11-02 02:15:14,,Malternative Beverages,2014-07-10 14:11:26,Flavored Malt Beverage,Flavored Malt Beverage,,,4.0,6.0,,,,,,2014-07-10 14:15:20,2015-04-07 15:49:43,,,,,,,2014-07-10 14:20:24
bM2eLl,Red Between the Lines,Red Between the Lines,6.2,N,N,2014-09-10 16:57:47,2018-11-02 02:15:14,Pint,North American Origin Ales,2012-03-21 20:06:45,American-Style Amber/Red Ale,Amber,30.0,40.0,4.5,6.0,11.0,18.0,1.048,1.012,1.018,2012-03-21 20:06:45,2015-04-07 15:26:52,50.0,Year Round,,,6,cool,
p0Qbef,Red Ryeot,Red Ryeot,6.5,N,N,2013-09-03 14:12:19,2018-11-02 02:15:14,,Hybrid/mixed Beer,2012-03-21 20:06:46,Rye Ale or Lager with or without Yeast,Rye Ale,,,,,,,,,,2012-03-21 20:06:46,2015-04-07 15:44:12,,,,,,,
txhujB,Red Tulip,Red Tulip,,N,N,2012-01-03 02:44:04,2018-11-02 02:15:14,,,,,,,,,,,,,,,,,,,,,,,
GIO3Xe,Red-oric - Beer Camp #65 (Best Of Beer Camp: Imperial Red Ale),Red-oric - Beer Camp #65 (Best Of Beer Camp: Imperial Red Ale),8.0,N,N,2018-05-11 00:11:20,2018-11-02 02:15:14,,North American Origin Ales,2012-03-21 20:06:45,American-Style Amber/Red Ale,Amber,30.0,40.0,4.5,6.0,11.0,18.0,1.048,1.012,1.018,2012-03-21 20:06:45,2015-04-07 15:26:52,,,,,,,
7aeVlx,Redbridge,Redbridge,4.0,N,N,2012-01-03 02:44:04,2018-11-02 02:15:14,Pint,Hybrid/mixed Beer,2012-03-21 20:06:46,Gluten-Free Beer,Gluten-Free Beer,,,,,,,,,,2012-03-21 20:06:46,2015-04-07 15:45:08,,Year Round,,,,,
UPDwhn,Reeb Rye'd PA,Reeb Rye'd PA,7.0,N,N,2014-06-17 14:54:45,2018-11-02 02:15:14,,Hybrid/mixed Beer,2012-03-21 20:06:46,Rye Ale or Lager with or without Yeast,Rye Ale,,,,,,,,,,2012-03-21 20:06:46,2015-04-07 15:44:12,65.0,,,,,,
zAC6PV,Regal Pilsner,Regal Pilsner,7.0,N,N,2014-07-17 14:37:39,2018-11-02 02:15:14,Pilsner,North American Lager,2012-03-21 20:06:46,American-Style Pilsener,American Pilsener,25.0,40.0,5.0,6.0,3.0,6.0,1.045,1.012,1.018,2012-03-21 20:06:46,2015-04-07 15:40:08,45.0,Limited,,,,,
Lt3xMf,Renee IPA,Renee IPA,,N,N,2015-01-07 16:31:46,2018-11-02 02:15:14,Pint,North American Origin Ales,2012-03-21 20:06:45,American-Style India Pale Ale,American IPA,50.0,70.0,6.3,7.5,6.0,14.0,1.06,1.012,1.018,2012-03-21 20:06:45,2015-04-07 15:26:37,80.0,Limited,,,,,
YVWopx,Return of the Red Eye IPA,Return of the Red Eye IPA,6.5,N,N,2013-04-12 11:31:57,2018-11-02 02:15:14,,North American Origin Ales,2012-03-21 20:06:45,American-Style India Pale Ale,American IPA,50.0,70.0,6.3,7.5,6.0,14.0,1.06,1.012,1.018,2012-03-21 20:06:45,2015-04-07 15:26:37,,Limited,,,,,
xZCUbm,Revered Red,Revered Red,5.4,N,N,2014-01-22 14:31:23,2018-11-02 02:15:14,Pint,North American Origin Ales,2012-03-21 20:06:45,American-Style Amber/Red Ale,Amber,30.0,40.0,4.5,6.0,11.0,18.0,1.048,1.012,1.018,2012-03-21 20:06:45,2015-04-07 15:26:52,,,,,,,
bztkAM,Rhizing Bines,Rhizing Bines,8.0,N,Y,2012-09-18 01:41:16,2018-11-02 02:15:14,,North American Origin Ales,2012-03-21 20:06:45,Imperial or Double India Pale Ale,Imperial IPA,65.0,100.0,7.5,10.5,5.0,13.0,1.075,1.012,1.02,2012-03-21 20:06:45,2015-04-07 15:26:46,70.0,Not Available,,,,,
O9XhOw,RIPA,RIPA,5.9,N,N,2016-03-22 14:33:45,2018-11-02 02:15:14,,Irish Origin Ales,2012-03-21 20:06:45,Irish-Style Red Ale,Irish Red,20.0,28.0,4.0,4.5,11.0,18.0,1.04,1.01,1.014,2012-03-21 20:06:45,2015-04-07 15:23:38,,,,,,,
0UTcHS,Ripley Tripel,Ripley Tripel,9.6,N,N,2015-04-06 18:42:26,2018-11-02 02:15:14,,Belgian And French Origin Ales,2012-03-21 20:06:46,Belgian-Style Tripel,Belgian Tripel,20.0,45.0,7.0,10.0,4.0,9.0,1.07,1.01,1.018,2012-03-21 20:06:46,2015-04-07 15:31:50,25.0,,,,,,
XlDXNh,River Ryed Rye IPA,River Ryed Rye IPA,6.0,N,N,2015-05-20 23:18:41,2018-11-02 02:15:14,,Hybrid/mixed Beer,2012-03-21 20:06:46,Rye Ale or Lager with or without Yeast,Rye Ale,,,,,,,,,,2012-03-21 20:06:46,2015-04-07 15:44:12,,,,,,,
6iwkrE,Robert Beedus Jr,Robert Beedus Jr,,N,N,2014-06-17 14:58:29,2018-11-02 02:15:14,,Irish Origin Ales,2012-03-21 20:06:45,Classic Irish-Style Dry Stout,Dry Irish Stout,30.0,40.0,3.8,5.0,40.0,40.0,1.038,1.008,1.012,2012-03-21 20:06:45,2015-04-07 15:23:51,,,,,,,
WBe09U,Rock Candy Hoppy Red,Rock Candy Hoppy Red,7.5,N,N,2015-08-06 14:29:13,2018-11-02 02:15:14,,North American Origin Ales,2012-03-21 20:06:45,Imperial Red Ale,Imperial Red,55.0,85.0,7.9,10.5,10.0,15.0,1.08,1.02,1.028,2012-03-21 20:06:46,2015-04-07 17:05:43,,,,,,,
yBrlNu,Rocket Dog Rye I.P.A,Rocket Dog Rye I.P.A,6.9,N,N,2012-01-03 02:44:06,2018-11-02 02:15:14,Pint,North American Origin Ales,2012-03-21 20:06:45,American-Style India Pale Ale,American IPA,50.0,70.0,6.3,7.5,6.0,14.0,1.06,1.012,1.018,2012-03-21 20:06:45,2015-04-07 15:26:37,62.0,Year Round,,,,,
tuzag8,Rockin Blues IPA,Rockin Blues IPA,,N,N,2017-09-11 01:52:24,2018-11-02 02:15:14,,North American Origin Ales,2012-03-21 20:06:45,American-Style India Pale Ale,American IPA,50.0,70.0,6.3,7.5,6.0,14.0,1.06,1.012,1.018,2012-03-21 20:06:45,2015-04-07 15:26:37,,,,,,,
zkfPGW,Rompo Red Rye (Bourbon Barrel Aged),Rompo Red Rye (Bourbon Barrel Aged),5.2,Y,N,2015-07-14 21:00:19,2018-11-02 02:15:14,,Hybrid/mixed Beer,2012-03-21 20:06:46,Wood- and Barrel-Aged Beer,BBL Aged,,,,,,,,,,2012-03-21 20:06:46,2015-04-07 15:46:27,,,,,,,
M77aJE,Rompo Red Rye (Corsair Quinoa Whiskey Barrel Aged),Rompo Red Rye (Corsair Quinoa Whiskey Barrel Aged),,Y,N,2015-07-14 21:25:04,2018-11-02 02:15:14,,Hybrid/mixed Beer,2012-03-21 20:06:46,Wood- and Barrel-Aged Beer,BBL Aged,,,,,,,,,,2012-03-21 20:06:46,2015-04-07 15:46:27,,,,,,,
akZCc6,Rompo Red Rye (Dickel),Rompo Red Rye (Dickel),5.2,Y,N,2015-07-14 21:28:55,2018-11-02 02:15:14,,Hybrid/mixed Beer,2012-03-21 20:06:46,Wood- and Barrel-Aged Beer,BBL Aged,,,,,,,,,,2012-03-21 20:06:46,2015-04-07 15:46:27,,,,,,,
TLdF50,Rompo Red Rye Ale,Rompo Red Rye Ale,5.6,N,N,2013-05-02 22:18:26,2018-11-02 02:15:14,,Hybrid/mixed Beer,2012-03-21 20:06:46,Rye Ale or Lager with or without Yeast,Rye Ale,,,,,,,,,,2012-03-21 20:06:46,2015-04-07 15:44:12,,,,,,,
WFjpOp,Royal Impy Stout,Royal Impy Stout,,N,N,2013-03-08 13:11:38,2018-11-02 02:15:14,,North American Origin Ales,2012-03-21 20:06:45,American-Style Imperial Stout,American Imperial Stout,50.0,80.0,7.0,12.0,40.0,40.0,1.08,1.02,1.03,2012-03-21 20:06:46,2015-04-07 15:28:49,,,,,,,
7faCP2,Rum Barrel-Aged Ten Fidy,Rum Barrel-Aged Ten Fidy,14.7,N,N,2016-12-24 19:53:33,2018-11-02 02:15:14,,North American Origin Ales,2012-03-21 20:06:45,American-Style Imperial Stout,American Imperial Stout,50.0,80.0,7.0,12.0,40.0,40.0,1.08,1.02,1.03,2012-03-21 20:06:46,2015-04-07 15:28:49,65.0,,,,,,
EzaTJ3,Runway IPA,Runway IPA,6.2,N,N,2014-09-10 16:40:08,2018-11-02 02:15:14,Pint,International Ale Styles,2012-03-21 20:06:46,International-Style Pale Ale,International Pale,30.0,42.0,4.5,5.5,6.0,14.0,1.044,1.008,1.014,2012-03-21 20:06:46,2015-04-07 15:35:08,50.0,Year Round,,,7.0,cool,
SjPBgM,Russ' Revival,Russ' Revival,5.3,N,N,2017-02-27 14:24:00,2018-11-02 02:15:14,,North American Lager,2012-03-21 20:06:46,American-Style Lager,American Lager,5.0,13.0,3.8,5.0,2.0,4.0,1.04,1.006,1.01,2012-03-21 20:06:46,2015-04-07 15:39:26,,,,,,,
HaN457,Rustiek-Barrel Aged Belgian Amber Ale,Rustiek-Barrel Aged Belgian Amber Ale,9.4,N,N,2014-09-05 03:00:28,2018-11-02 02:15:14,,North American Origin Ales,2012-03-21 20:06:45,American-Style Amber/Red Ale,Amber,30.0,40.0,4.5,6.0,11.0,18.0,1.048,1.012,1.018,2012-03-21 20:06:45,2015-04-07 15:26:52,,,,,,,
qOKA1F,Ruthless Rye IPA,Ruthless Rye IPA,6.6,N,N,2012-01-04 03:03:07,2018-11-02 02:15:14,,North American Origin Ales,2012-03-21 20:06:45,American-Style India Pale Ale,American IPA,50.0,70.0,6.3,7.5,6.0,14.0,1.06,1.012,1.018,2012-03-21 20:06:45,2015-04-07 15:26:37,55.0,Limited,,,,,
f16hLl,Ruthlessly Delicious,Ruthlessly Delicious,6.2,N,N,2016-05-05 22:41:07,2018-11-02 02:15:14,,North American Origin Ales,2012-03-21 20:06:45,American-Style India Pale Ale,American IPA,50.0,70.0,6.3,7.5,6.0,14.0,1.06,1.012,1.018,2012-03-21 20:06:45,2015-04-07 15:26:37,52.0,,,,,,
lMlLXZ,Ryde Beer,Ryde Beer,5.0,N,N,2013-05-07 17:58:57,2018-11-02 02:15:14,,Hybrid/mixed Beer,2012-03-21 20:06:46,Rye Ale or Lager with or without Yeast,Rye Ale,,,,,,,,,,2012-03-21 20:06:46,2015-04-07 15:44:12,22.0,Limited,,,,,
5fM3ER,Rye Barrel Aged Cubcrawler,Rye Barrel Aged Cubcrawler,,N,N,2013-05-02 22:18:39,2018-11-02 02:15:14,,British Origin Ales,2012-03-21 20:06:45,English-Style Dark Mild Ale,English Dark Mild,10.0,24.0,3.2,4.0,17.0,34.0,1.03,1.004,1.008,2012-03-21 20:06:45,2015-04-07 15:20:43,,Limited,,,,,
7bnlRC,Rye Cocoa Porter - ScareCity #2,Rye Cocoa Porter - ScareCity #2,10.2,N,N,2015-01-26 15:14:01,2018-11-02 02:15:14,,North American Origin Ales,2012-03-21 20:06:45,American-Style Imperial Porter,American Imperial Porter,35.0,50.0,5.5,9.5,40.0,40.0,1.08,1.02,1.03,2013-08-10 12:42:51,2015-04-07 15:49:32,,,,1.1,,,
zTJ86p,Rye Hatter,Rye Hatter,6.12,N,N,2012-01-03 02:44:07,2018-11-02 02:15:14,Pint,Hybrid/mixed Beer,2012-03-21 20:06:46,Light American Wheat Ale or Lager with Yeast,Wheat Ale,10.0,35.0,3.5,5.5,4.0,10.0,1.036,1.006,1.018,2012-03-21 20:06:46,2015-04-07 15:42:48,60.0,Seasonal,,,,,
