id,name,nameDisplay,abv,styleId,isRetired,status,statusDisplay,createDate,updateDate,style.id,style.categoryId,style.category.id,style.category.name,style.category.createDate,style.name,style.shortName,style.description,style.ibuMin,style.ibuMax,style.abvMin,style.abvMax,style.srmMin,style.srmMax,style.ogMin,style.fgMin,style.fgMax,style.createDate,style.updateDate,labels.icon,labels.medium,labels.large,labels.contentAwareIcon,labels.contentAwareMedium,labels.contentAwareLarge,style.ogMax,ibu,availableId,available.id,available.name,available.description
7c20yF,Gigantes IPA,Gigantes IPA,6.8,30,N,verified,Verified,2015-04-20 15:44:09,2015-04-20 15:44:09,30,3,3,North American Origin Ales,2012-03-21 20:06:45,American-Style India Pale Ale,American IPA,"American-style India pale ales are perceived to have medium-high to intense hop bitterness, flavor and aroma with medium-high alcohol content. The style is further characterized by floral, fruity, citrus-like, piney, resinous, or sulfur-like American-variety hop character. Note that one or more of these American-variety hop characters is the perceived end, but the hop characters may be a result of the skillful use of hops of other national origins. The use of water with high mineral content results in a crisp, dry beer. This pale gold to deep copper-colored ale has a full, flowery hop aroma and may have a strong hop flavor (in addition to the perception of hop bitterness). India pale ales possess medium maltiness which contributes to a medium body. Fruity-ester flavors and aromas are moderate to very strong. Diacetyl can be absent or may be perceived at very low levels. Chill and/or hop haze is allowable at cold temperatures. (English and citrus-like American hops are considered enough of a distinction justifying separate American-style IPA and English-style IPA categories or subcategories. Hops of other origins may be used for bitterness or approximating traditional American or English character. See English-style India Pale Ale",50,70,6.3,7.5,6,14,1.06,1.012,1.018,2012-03-21 20:06:45,2015-04-07 15:26:37,,,,,,,,,,,,
LAFtEN,Golden Doom,Golden Doom,7.8,63,N,verified,Verified,2012-01-03 02:43:17,2015-12-16 07:42:59,63,5,5,Belgian And French Origin Ales,2012-03-21 20:06:46,Belgian-Style Pale Strong Ale,Belgian Pale Strong,"Belgian pale strong ales are pale to golden in color with relatively light body for a beer of its alcoholic strength. Often brewed with light colored Belgian ""candy"" sugar, these beers are well attenuated. The perception of hop bitterness is medium-low to medium -high, with hop flavor and aroma also in this range. These beers are highly attenuated and have a perceptively deceiving high alcoholic character-being light to medium bodied rather than full bodied. The intensity of malt character should be low to medium, often surviving along with a complex fruitiness. Very little or no diacetyl is perceived. Herbs and spices are sometimes used to delicately flavor these strong ales. Low levels of phenolic spiciness from yeast byproducts may also be perceived. Chill haze is allowable at cold temperatures.",20,50,7,11,4,10,1.064,1.012,1.024,2012-03-21 20:06:46,2015-04-07 15:32:16,https://brewerydb-images.s3.amazonaws.com/beer/LAFtEN/upload_4ligJX-icon.png,https://brewerydb-images.s3.amazonaws.com/beer/LAFtEN/upload_4ligJX-medium.png,https://brewerydb-images.s3.amazonaws.com/beer/LAFtEN/upload_4ligJX-large.png,https://brewerydb-images.s3.amazonaws.com/beer/LAFtEN/upload_4ligJX-contentAwareIcon.png,https://brewerydb-images.s3.amazonaws.com/beer/LAFtEN/upload_4ligJX-contentAwareMedium.png,https://brewerydb-images.s3.amazonaws.com/beer/LAFtEN/upload_4ligJX-contentAwareLarge.png,,45,2.0,2.0,Limited,Limited availability.
t3oBtL,Golden Sunshine,Golden Sunshine,4,46,N,verified,Verified,2016-11-13 15:17:52,2016-11-13 15:19:39,46,4,4,German Origin Ales,2012-03-21 20:06:46,Berliner-Style Weisse (Wheat),Berlinerweisse,"This is very pale in color and the lightest of all the German wheat beers. The unique combination of yeast and lactic acid bacteria fermentation yields a beer that is acidic, highly attenuated, and very light bodied. The carbonation of a Berliner Weisse is high, and hop rates are very low. Clarity may be hazy or cloudy from yeast or chill haze. Hop character should not be perceived. Fruity esters will be evident. No diacetyl should be perceived.",3,6,2.8,3.4,2,4,1.028,1.004,1.006,2012-03-21 20:06:46,2015-04-07 15:29:14,,,,,,,,,,,,
7zNyhV,Good Things,Good Things,8,59,N,verified,Verified,2016-09-15 00:15:56,2016-09-15 13:43:36,59,5,5,Belgian And French Origin Ales,2012-03-21 20:06:46,Belgian-Style Tripel,Belgian Tripel,"Tripels are often characterized by a complex, sometimes mild spicy character. Clove-like phenolic flavor and aroma may be evident at extremely low levels. Yeast-generated  fruity esters, including banana, are also common, but not necessary. These pale/light-colored ales may finish sweet, though any sweet finish should be light. The beer is characteristically medium and clean in body with an equalizing hop/malt balance and a perception of medium to medium high hop bitterness. Traditional Belgian Tripels are often well attenuated. Brewing sugar may be used to lighten the perception of body. Its sweetness will come from very pale malts. There should not be character from any roasted or dark malts. Low hop flavor is acceptable. Alcohol strength and flavor should be perceived as evident. Head retention is dense and mousse-like. Chill haze is acceptable at low serving temperatures. Traditional Tripels are bottle conditioned, may exhibit slight yeast haze but the yeast should not be intentionally roused. Oxidative character if evident in aged Tripels should be mild and pleasant.",20,45,7,10,4,9,1.07,1.01,1.018,2012-03-21 20:06:46,2015-04-07 15:31:50,,,,,,,,,,,,
sSe8RB,He Said Baltic-Style Porter,He Said Baltic-Style Porter,8.2,104,N,verified,Verified,2013-09-02 15:04:43,2016-12-15 21:04:19,104,9,9,Other Lager,2012-03-21 20:06:46,Baltic-Style Porter,Baltic Porter,"A true smooth cold-fermented and cold lagered beer, brewed with lager yeast. Black to very deep ruby/garnet in color. Overall, Baltic Porters have a very smooth lagered character with distinctive caramelized sugars, licorice and chocolate-like character of roasted malts and dark sugars. Roasted dark malts should not contribute bitterness, or astringent roast character. A low degree of smokiness from malt may be evident. Debitterized roast malts are best used for this style. Because of its alcoholic strength, aroma may include gentle (low) lager fruitiness (berries, grapes, plums, not banana; ale-like fruitiness from warm temperature fermentation is not appropriate), complex alcohols, cocoa-like, roast malt (and sometimes coffee-like roast barley, yet not bitter). Hop aroma is very low, though a hint of floral or sweet hop aroma can complement aromatics and flavor without dominance. Baltic Porters are not hop bitter dominated and expressed as low to medium-low. Baltic porters range from having medium to full body complemented with a medium-low to medium level of malty sweetness. No butterscotch-like diacetyl or sweet corn-like dimethylsulfide (DMS) should be apparent in aroma or flavor.",35,40,7.5,9,40,40,1.072,1.016,1.022,2012-03-21 20:06:46,2015-04-07 15:41:46,https://brewerydb-images.s3.amazonaws.com/beer/sSe8RB/upload_NCk28r-icon.png,https://brewerydb-images.s3.amazonaws.com/beer/sSe8RB/upload_NCk28r-medium.png,https://brewerydb-images.s3.amazonaws.com/beer/sSe8RB/upload_NCk28r-large.png,https://brewerydb-images.s3.amazonaws.com/beer/sSe8RB/upload_NCk28r-contentAwareIcon.png,https://brewerydb-images.s3.amazonaws.com/beer/sSe8RB/upload_NCk28r-contentAwareMedium.png,https://brewerydb-images.s3.amazonaws.com/beer/sSe8RB/upload_NCk28r-contentAwareLarge.png,,,4.0,4.0,Seasonal,"Available at the same time of year, every year."
ORwgoV,He Said Belgian-Style Tripel,He Said Belgian-Style Tripel,8.2,59,N,verified,Verified,2014-08-27 17:24:36,2016-12-15 21:04:15,59,5,5,Belgian And French Origin Ales,2012-03-21 20:06:46,Belgian-Style Tripel,Belgian Tripel,"Tripels are often characterized by a complex, sometimes mild spicy character. Clove-like phenolic flavor and aroma may be evident at extremely low levels. Yeast-generated  fruity esters, including banana, are also common, but not necessary. These pale/light-colored ales may finish sweet, though any sweet finish should be light. The beer is characteristically medium and clean in body with an equalizing hop/malt balance and a perception of medium to medium high hop bitterness. Traditional Belgian Tripels are often well attenuated. Brewing sugar may be used to lighten the perception of body. Its sweetness will come from very pale malts. There should not be character from any roasted or dark malts. Low hop flavor is acceptable. Alcohol strength and flavor should be perceived as evident. Head retention is dense and mousse-like. Chill haze is acceptable at low serving temperatures. Traditional Tripels are bottle conditioned, may exhibit slight yeast haze but the yeast should not be intentionally roused. Oxidative character if evident in aged Tripels should be mild and pleasant.",20,45,7,10,4,9,1.07,1.01,1.018,2012-03-21 20:06:46,2015-04-07 15:31:50,https://brewerydb-images.s3.amazonaws.com/beer/ORwgoV/upload_S43act-icon.png,https://brewerydb-images.s3.amazonaws.com/beer/ORwgoV/upload_S43act-medium.png,https://brewerydb-images.s3.amazonaws.com/beer/ORwgoV/upload_S43act-large.png,https://brewerydb-images.s3.amazonaws.com/beer/ORwgoV/upload_S43act-contentAwareIcon.png,https://brewerydb-images.s3.amazonaws.com/beer/ORwgoV/upload_S43act-contentAwareMedium.png,https://brewerydb-images.s3.amazonaws.com/beer/ORwgoV/upload_S43act-contentAwareLarge.png,,,,,,
VNqOKH,Hell or High Watermelon Wheat,Hell or High Watermelon Wheat,4.9,114,N,verified,Verified,2012-01-03 02:43:22,2017-01-10 22:07:44,114,11,11,Hybrid/mixed Beer,2012-03-21 20:06:46,Fruit Wheat Ale or Lager with or without Yeast,Fruit Wheat Ale,"This beer can be made using either ale or lager yeast. It can be brewed with 30 to 75 percent malted wheat. Fruit or fruit extracts contribute flavor and/or aroma. Perceived fruit qualities should be authentic and replicate true fruit complexity as much as possible. Color should reflect a degree of fruit's color. Hop rates may be low to medium. Hop characters may be light to moderate in bitterness, flavor and aroma. Fruity-estery aroma and flavor from yeast can be typical but at low levels; however, phenolic, clovelike characteristics should not be perceived. Body should be light to medium in character. Diacetyl should not be perceived. When this style is served with yeast the character should portray a full yeasty mouthfeel and appear hazy to very cloudy. Chill haze is also acceptable. Yeast flavor and aroma should be low to medium but not overpowering the balance and character of malt and hops. Brewer may indicate on the bottle whether the yeast should be intentionally roused or if they prefer that the entry be poured as quietly as possible.",10,35,3.8,5,2,10,1.036,1.004,1.016,2012-03-21 20:06:46,2015-04-07 15:43:55,https://brewerydb-images.s3.amazonaws.com/beer/VNqOKH/upload_aiMuiP-icon.png,https://brewerydb-images.s3.amazonaws.com/beer/VNqOKH/upload_aiMuiP-medium.png,https://brewerydb-images.s3.amazonaws.com/beer/VNqOKH/upload_aiMuiP-large.png,https://brewerydb-images.s3.amazonaws.com/beer/VNqOKH/upload_aiMuiP-contentAwareIcon.png,https://brewerydb-images.s3.amazonaws.com/beer/VNqOKH/upload_aiMuiP-contentAwareMedium.png,https://brewerydb-images.s3.amazonaws.com/beer/VNqOKH/upload_aiMuiP-contentAwareLarge.png,,17,4.0,4.0,Seasonal,"Available at the same time of year, every year."
VIJCoo,Hooligan,Hooligan,5.2,73,N,verified,Verified,2015-04-20 15:43:19,2015-04-20 15:43:20,73,6,6,International Ale Styles,2012-03-21 20:06:46,International-Style Pale Ale,International Pale,"International-style pale ales range from deep golden to copper in color. The style is characterized by wide range of hop characters unlike fruity, floral and citrus-like American-variety hop character and unlike earthy, herbal English-variety hop character. Moderate to high hop bitterness, flavor, and aroma is evident. International pale ales have medium body and low to medium maltiness. Low caramel character is allowable. Fruity-ester flavor and aroma should be moderate to strong. Diacetyl should be absent or present at very low levels. Chill haze is allowable at cold temperatures.",30,42,4.5,5.5,6,14,1.044,1.008,1.014,2012-03-21 20:06:46,2015-04-07 15:35:08,,,,,,,,,,,,
yy3cTm,Hop Crisis,Hop Crisis,9.7,31,N,verified,Verified,2012-01-03 02:43:24,2017-08-03 20:20:47,31,3,3,North American Origin Ales,2012-03-21 20:06:45,Imperial or Double India Pale Ale,Imperial IPA,"Imperial or Double India Pale Ales have intense hop bitterness, flavor and aroma. Alcohol content is medium-high to high and notably evident. They range from deep golden to medium copper in color. The style may use any variety of hops. Though the hop character is intense it's balanced with complex alcohol flavors, moderate to high fruity esters and medium to high malt character. Hop character should be fresh and lively and should not be harsh in quality. The use of large amounts of hops may cause a degree of appropriate hop haze. Imperial or Double India Pale Ales have medium-high to full body. Diacetyl should not be perceived. The intention of this style of beer is to exhibit the fresh and bright character of hops. Oxidative character and aged character should not be present.",65,100,7.5,10.5,5,13,1.075,1.012,1.02,2012-03-21 20:06:45,2015-04-07 15:26:46,https://brewerydb-images.s3.amazonaws.com/beer/yy3cTm/upload_GWsH4r-icon.png,https://brewerydb-images.s3.amazonaws.com/beer/yy3cTm/upload_GWsH4r-medium.png,https://brewerydb-images.s3.amazonaws.com/beer/yy3cTm/upload_GWsH4r-large.png,https://brewerydb-images.s3.amazonaws.com/beer/yy3cTm/upload_GWsH4r-contentAwareIcon.png,https://brewerydb-images.s3.amazonaws.com/beer/yy3cTm/upload_GWsH4r-contentAwareMedium.png,https://brewerydb-images.s3.amazonaws.com/beer/yy3cTm/upload_GWsH4r-contentAwareLarge.png,,94,4.0,4.0,Seasonal,"Available at the same time of year, every year."
0quZsW,Imperial Jack,Imperial Jack,8.9,5,N,verified,Verified,2014-10-17 00:57:09,2014-10-17 20:17:22,5,1,1,British Origin Ales,2012-03-21 20:06:45,Extra Special Bitter,ESB,"Extra special bitter possesses medium to strong hop aroma, flavor, and bitterness. The residual malt and defining sweetness of this richly flavored, full-bodied bitter is more pronounced than in other styles of bitter. It is light amber to copper colored with medium to medium-high bitterness. Mild carbonation traditionally characterizes draft-cask versions, but in bottled versions, a slight increase in carbon dioxide content is acceptable. Fruity-ester character is acceptable in aroma and flavor. Diacetyl (butterscotch character) is acceptable and characteristic when at very low levels. The absence of diacetyl is also acceptable. Chill haze is allowable at cold temperatures. English or American hops may be used. (English and American hop character may be specified in subcategories.)",30,45,4.8,5.8,8,14,1.046,1.01,1.016,2012-03-21 20:06:45,2015-04-07 15:19:20,,,,,,,,,,,,
Kxo119,Kilt by Wildfire,Kilt by Wildfire,8.5,15,N,verified,Verified,2015-03-11 01:24:01,2015-09-11 15:35:57,15,1,1,British Origin Ales,2012-03-21 20:06:45,Scotch Ale,Scotch Ale,"Scotch ales are overwhelmingly malty and full-bodied. Perception of hop bitterness is very low. Hop flavor and aroma are very low or nonexistent. Color ranges from deep copper to brown. The clean alcohol flavor balances the rich and dominant sweet maltiness in flavor and aroma. A caramel character is often a part of the profile. Dark roasted malt flavors and aroma may be evident at low levels. If present, fruity esters are generally at low aromatic and flavor levels. Low diacetyl levels are acceptable. Chill haze is allowable at cold temperatures. Though there is little evidence suggesting that traditionally made strong Scotch ales exhibited peat smoke character, the current marketplace offers many Scotch Ales with peat or smoke character present at low to medium levels. Thus a peaty/smoky character may be evident at low levels (ales with medium or higher smoke character would be considered a smoke flavored beer and considered in another category). Scotch Ales may be split into two subcategories: Traditional (no smoke character) and Peated (low level of peat smoke character).",25,35,6.2,8,15,30,1.072,1.016,1.028,2012-03-21 20:06:45,2015-04-07 15:21:11,,,,,,,,40,,,,
eL8mMV,Klassic Kolsch,Klassic Kolsch,4.5,45,N,verified,Verified,2015-04-20 15:35:10,2015-04-20 15:35:10,45,4,4,German Origin Ales,2012-03-21 20:06:46,German-Style Kölsch / Köln-Style Kölsch,Kölsch,"Kölsch is warm fermented and aged at cold temperatures (German ale or alt-style beer). Kölsch is characterized by a golden to straw color and a slightly dry, subtly sweet softness on the palate, yet crisp. Good, dense head retention is desirable. Light pearapple-Riesling wine-like fruitiness may be apparent, but is not necessary for this style. Caramel character should not be evident. The body is light to medium-light. This beer has low hop flavor and aroma with medium bitterness. Wheat can be used in brewing this beer. Ale yeast is used for fermentation, though lager yeast is sometimes used in the bottle or final cold conditioning process. Fruity esters should be minimally perceived, if at all. Chill haze should be absent.",18,25,4.8,5.3,4,6,1.042,1.006,1.01,2012-03-21 20:06:46,2015-04-07 15:29:04,,,,,,,,,,,,
mjvZvm,Lower De Boom,Lower De Boom,11.5,34,N,verified,Verified,2013-01-08 12:03:22,2018-06-15 19:41:26,34,3,3,North American Origin Ales,2012-03-21 20:06:45,American-Style Barley Wine Ale,American Barleywine,"American style barley wines range from amber to deep copper-garnet in color and have a full body and high residual malty sweetness. Complexity of alcohols and fruity-ester characters are often high and counterbalanced by assertive bitterness and extraordinary alcohol content. Hop aroma and flavor are at medium to very high levels. American type hops are often used but not necessary for this style. Very low levels of diacetyl may be acceptable. A caramel and/or toffee aroma and flavor are often part of the character. Characters indicating oxidation, such as vinous (sometimes sherry-like) aromas and/or flavors, are not generally acceptable in American-style Barley Wine Ale, however if a low level of age-induced oxidation character harmonizes and enhances the overall experience this can be regarded favorably. Chill haze is allowable at cold temperatures.",60,100,8.4,12,11,22,1.09,1.024,1.028,2012-03-21 20:06:46,2015-04-07 15:27:08,https://brewerydb-images.s3.amazonaws.com/beer/mjvZvm/upload_lVnlOw-icon.png,https://brewerydb-images.s3.amazonaws.com/beer/mjvZvm/upload_lVnlOw-medium.png,https://brewerydb-images.s3.amazonaws.com/beer/mjvZvm/upload_lVnlOw-large.png,https://brewerydb-images.s3.amazonaws.com/beer/mjvZvm/upload_lVnlOw-contentAwareIcon.png,https://brewerydb-images.s3.amazonaws.com/beer/mjvZvm/upload_lVnlOw-contentAwareMedium.png,https://brewerydb-images.s3.amazonaws.com/beer/mjvZvm/upload_lVnlOw-contentAwareLarge.png,,92,,,,
GBYVaL,Marooned on Hog Island Oyster Stout,Marooned on Hog Island Oyster Stout,7.9,44,N,verified,Verified,2012-10-22 11:50:37,2015-12-16 18:54:07,44,3,3,North American Origin Ales,2012-03-21 20:06:45,Specialty Stouts,Stout,"See British Origin American-Style Imperial Porter Imperial porters are very dark brown to black in color. No roast barley or strong burnt/astringent black malt character should be perceived. Medium malt, caramel and cocoa-like sweetness should be in harmony with medium-low to medium hop bitterness. This is a full bodied beer. Ale-like fruity esters should be evident but not overpowering and compliment malt derived sweetness and hop character. Hop flavor and aroma may vary from being low to medium-high. Diacetyl (butterscotch) levels should be absent.",35,50,7,12,40,40,1.08,1.02,1.03,2012-03-21 20:06:46,2015-04-07 15:28:58,https://brewerydb-images.s3.amazonaws.com/beer/GBYVaL/upload_MFugKe-icon.png,https://brewerydb-images.s3.amazonaws.com/beer/GBYVaL/upload_MFugKe-medium.png,https://brewerydb-images.s3.amazonaws.com/beer/GBYVaL/upload_MFugKe-large.png,https://brewerydb-images.s3.amazonaws.com/beer/GBYVaL/upload_MFugKe-contentAwareIcon.png,https://brewerydb-images.s3.amazonaws.com/beer/GBYVaL/upload_MFugKe-contentAwareMedium.png,https://brewerydb-images.s3.amazonaws.com/beer/GBYVaL/upload_MFugKe-contentAwareLarge.png,,,,,,
jvkp7g,MCA,MCA,4.5,108,N,verified,Verified,2015-04-20 15:45:50,2015-04-20 15:45:50,108,11,11,Hybrid/mixed Beer,2012-03-21 20:06:46,Session Beer,Session,Any style of beer can be made lower in strength than described in the classic style guidelines. The goal should be to reach a balance between the style's character and the lower alcohol content. Drinkability is a character in the overall balance of these beers. Beers in this category must not exceed 4.1% alcohol by weight (5.1% alcohol by volume).,10,30,4,5.1,2,2,1.034,1.004,1.01,2012-03-21 20:06:46,2015-04-07 15:42:20,,,,,,,,,,,,
iqX54w,Monk's Blood,Monk's Blood,8.3,70,N,verified,Verified,2012-01-03 02:43:43,2017-08-03 20:20:41,70,5,5,Belgian And French Origin Ales,2012-03-21 20:06:46,Other Belgian-Style Ales,Belgian Ale,"Recognizing the uniqueness and traditions of several other styles of Belgian Ales, the beers entered in this category will be assessed on the merits that they do not fit existing style guidelines and information that the brewer provides explaining the history and tradition of the style. Balance of character is a key component when assessing these beers. Barrel or wood-aged entries in competitions may be directed to other categories by competition director. In competitions the brewer must provide the historical or regional tradition of the style, or his interpretation of the style, in order to be assessed properly by the judges.",,,,,,,,,,2012-03-21 20:06:46,2015-04-07 15:33:05,https://brewerydb-images.s3.amazonaws.com/beer/iqX54w/upload_uP5VFp-icon.png,https://brewerydb-images.s3.amazonaws.com/beer/iqX54w/upload_uP5VFp-medium.png,https://brewerydb-images.s3.amazonaws.com/beer/iqX54w/upload_uP5VFp-large.png,https://brewerydb-images.s3.amazonaws.com/beer/iqX54w/upload_uP5VFp-contentAwareIcon.png,https://brewerydb-images.s3.amazonaws.com/beer/iqX54w/upload_uP5VFp-contentAwareMedium.png,https://brewerydb-images.s3.amazonaws.com/beer/iqX54w/upload_uP5VFp-contentAwareLarge.png,,34,1.0,1.0,Year Round,Available year round as a staple beer.
d1bs9X,North Star Red,North Star Red,5.8,32,N,verified,Verified,2012-01-03 02:43:46,2012-03-22 13:04:57,32,3,3,North American Origin Ales,2012-03-21 20:06:45,American-Style Amber/Red Ale,Amber,"American amber/red ales range from light copper to light brown in color. They are characterized by American-variety hops used to produce the perception of medium hop bitterness, flavor, and medium aroma. Amber ales have medium-high to high maltiness with medium to low caramel character. They should have medium to medium-high body. The style may have low levels of fruityester flavor and aroma. Diacetyl can be either absent or barely perceived at very low levels. Chill haze is allowable at cold temperatures. Slight yeast haze is acceptable for bottle-conditioned products.",30,40,4.5,6,11,18,1.048,1.012,1.018,2012-03-21 20:06:45,2015-04-07 15:26:52,,,,,,,,,,,,
syaOfN,Opening Day IPA,Opening Day IPA,7,30,N,verified,Verified,2015-04-20 15:40:44,2015-04-20 15:40:44,30,3,3,North American Origin Ales,2012-03-21 20:06:45,American-Style India Pale Ale,American IPA,"American-style India pale ales are perceived to have medium-high to intense hop bitterness, flavor and aroma with medium-high alcohol content. The style is further characterized by floral, fruity, citrus-like, piney, resinous, or sulfur-like American-variety hop character. Note that one or more of these American-variety hop characters is the perceived end, but the hop characters may be a result of the skillful use of hops of other national origins. The use of water with high mineral content results in a crisp, dry beer. This pale gold to deep copper-colored ale has a full, flowery hop aroma and may have a strong hop flavor (in addition to the perception of hop bitterness). India pale ales possess medium maltiness which contributes to a medium body. Fruity-ester flavors and aromas are moderate to very strong. Diacetyl can be absent or may be perceived at very low levels. Chill and/or hop haze is allowable at cold temperatures. (English and citrus-like American hops are considered enough of a distinction justifying separate American-style IPA and English-style IPA categories or subcategories. Hops of other origins may be used for bitterness or approximating traditional American or English character. See English-style India Pale Ale",50,70,6.3,7.5,6,14,1.06,1.012,1.018,2012-03-21 20:06:45,2015-04-07 15:26:37,,,,,,,,,,,,
TymIbq,Oyster Point Oyster Stout,Oyster Point Oyster Stout,5.9,42,N,verified,Verified,2012-01-03 02:43:53,2015-04-09 16:28:45,42,3,3,North American Origin Ales,2012-03-21 20:06:45,American-Style Stout,American Stout,"Initial low to medium malt sweetness with a degree of caramel, chocolate and/or roasted coffee flavor with a distinctive dryroasted bitterness in the finish. Coffee-like roasted barley and roasted malt aromas are prominent. Some slight roasted malt acidity is permissible and a medium- to full-bodied mouthfeel is appropriate. Hop bitterness may be moderate to high. Hop aroma and flavor is moderate to high, often with American citrus-type and/or resiny hop character. The perception of fruity esters is low. Roasted malt/barley astringency may be low but not excessive. Diacetyl (butterscotch) should be negligible or not perceived. Head retention is excellent.",35,60,5.7,8.8,40,40,1.05,1.01,1.022,2012-03-21 20:06:46,2015-04-07 15:28:43,,,,,,,,35,,,,
0ht406,Potrero ESB,Potrero ESB,5.2,4,N,verified,Verified,2012-01-03 02:44:00,2015-05-11 17:54:39,4,1,1,British Origin Ales,2012-03-21 20:06:45,Special Bitter or Best Bitter,Special Bitter,"Special bitter is more robust than ordinary bitter. It has medium body and medium residual malt sweetness. It is deep gold to copper colored. Hop bitterness should be medium and absent of harshness. Hop flavor and aroma character may be evident at the brewer's discretion. Mild carbonation traditionally characterizes draft-cask versions, but in bottled versions, a slight increase in carbon dioxide content is acceptable. Fruity-ester character is acceptable in aroma and flavor. Diacetyl (butterscotch character) is acceptable and characteristic when at very low levels. The absence of diacetyl is also acceptable. Chill haze is allowable at cold temperatures. (English and American hop character may be specified in subcategories.)",28,40,4.1,4.8,6,14,1.038,1.006,1.012,2012-03-21 20:06:45,2015-04-07 15:19:15,,,,,,,,,,,,
PDt0gi,Red Dwarf,Red Dwarf,7.1,33,N,verified,Verified,2014-12-31 18:27:58,2015-01-15 19:03:27,33,3,3,North American Origin Ales,2012-03-21 20:06:45,Imperial Red Ale,Imperial Red,"Imperial Red Ales are deep amber to dark copper/reddish brown. A small amount of chill haze is allowable at cold temperatures. Fruity-ester aroma is medium. Hop aroma is intense, arising from any variety of hops. Medium to high caramel malt character is present. Hop flavor is intense, and balanced with other beer characters. They may use any variety of hops. Hop bitterness is intense. Alcohol content is very high and of notable character. Complex alcohol flavors may be evident. Fruity-ester flavors are medium. Diacetyl should not be perceived. Body is full.",55,85,7.9,10.5,10,15,1.08,1.02,1.028,2012-03-21 20:06:46,2015-04-07 17:05:43,,,,,,,,65,,,,
OhvSlu,Roasted American,Roasted American,5.8,32,N,verified,Verified,2014-09-15 16:43:26,2014-10-03 15:57:20,32,3,3,North American Origin Ales,2012-03-21 20:06:45,American-Style Amber/Red Ale,Amber,"American amber/red ales range from light copper to light brown in color. They are characterized by American-variety hops used to produce the perception of medium hop bitterness, flavor, and medium aroma. Amber ales have medium-high to high maltiness with medium to low caramel character. They should have medium to medium-high body. The style may have low levels of fruityester flavor and aroma. Diacetyl can be either absent or barely perceived at very low levels. Chill haze is allowable at cold temperatures. Slight yeast haze is acceptable for bottle-conditioned products.",30,40,4.5,6,11,18,1.048,1.012,1.018,2012-03-21 20:06:45,2015-04-07 15:26:52,,,,,,,,,,,,
TUg2e2,Silver Lining IPA,Silver Lining IPA,5.9,30,N,verified,Verified,2015-01-01 22:53:51,2015-01-15 18:55:54,30,3,3,North American Origin Ales,2012-03-21 20:06:45,American-Style India Pale Ale,American IPA,"American-style India pale ales are perceived to have medium-high to intense hop bitterness, flavor and aroma with medium-high alcohol content. The style is further characterized by floral, fruity, citrus-like, piney, resinous, or sulfur-like American-variety hop character. Note that one or more of these American-variety hop characters is the perceived end, but the hop characters may be a result of the skillful use of hops of other national origins. The use of water with high mineral content results in a crisp, dry beer. This pale gold to deep copper-colored ale has a full, flowery hop aroma and may have a strong hop flavor (in addition to the perception of hop bitterness). India pale ales possess medium maltiness which contributes to a medium body. Fruity-ester flavors and aromas are moderate to very strong. Diacetyl can be absent or may be perceived at very low levels. Chill and/or hop haze is allowable at cold temperatures. (English and citrus-like American hops are considered enough of a distinction justifying separate American-style IPA and English-style IPA categories or subcategories. Hops of other origins may be used for bitterness or approximating traditional American or English character. See English-style India Pale Ale",50,70,6.3,7.5,6,14,1.06,1.012,1.018,2012-03-21 20:06:45,2015-04-07 15:26:37,,,,,,,,65,,,,
EQXF1Y,Sneak Attack,Sneak Attack,6.2,72,N,verified,Verified,2013-02-08 23:29:20,2015-12-17 00:53:57,72,5,5,Belgian And French Origin Ales,2012-03-21 20:06:46,French & Belgian-Style Saison,Saison,"Beers in this category are golden to deep amber in color. There may be quite a variety of characters within this style. Generally: They are light to medium in body. Malt aroma is low to medium-low. Esters are medium to high in  aroma, while, complex alcohols, herbs, spices, low Brettanomyces character and even clove and smoke-like phenolics may or may not be evident in the overall balanced beer. Hop aroma and flavor may be at low to medium levels. Malt flavor is low but provides foundation for the overall balance. Hop bitterness is moderate to moderately assertive. Herb and/or spice flavors, including black pepper-like notes, may or may not be evident. Fruitiness from fermentation is generally in character. A balanced small amount of sour or acidic flavors is acceptable when in balance with other components. Earthy, cellar-like, musty aromas are okay. Diacetyl should not be perceived. Chill or slight yeast haze is okay. Often bottle conditioned with some yeast character and high carbonation. French & Belgian-Style Saison may have Brettanomyces characters that are slightly acidity, fruity, horsey, goaty and/or leather-like.",20,40,4.5,8.5,4,14,1.055,1.004,1.016,2012-03-21 20:06:46,2015-04-07 15:34:55,https://brewerydb-images.s3.amazonaws.com/beer/EQXF1Y/upload_11LexQ-icon.png,https://brewerydb-images.s3.amazonaws.com/beer/EQXF1Y/upload_11LexQ-medium.png,https://brewerydb-images.s3.amazonaws.com/beer/EQXF1Y/upload_11LexQ-large.png,https://brewerydb-images.s3.amazonaws.com/beer/EQXF1Y/upload_11LexQ-contentAwareIcon.png,https://brewerydb-images.s3.amazonaws.com/beer/EQXF1Y/upload_11LexQ-contentAwareMedium.png,https://brewerydb-images.s3.amazonaws.com/beer/EQXF1Y/upload_11LexQ-contentAwareLarge.png,,38,4.0,4.0,Seasonal,"Available at the same time of year, every year."
