id,name,nameDisplay,abv,availableId,styleId,isRetired,status,statusDisplay,createDate,updateDate,labels.icon,labels.medium,labels.large,labels.contentAwareIcon,labels.contentAwareMedium,labels.contentAwareLarge,available.id,available.name,available.description,style.id,style.categoryId,style.category.id,style.category.name,style.category.createDate,style.name,style.shortName,style.description,style.ibuMin,style.ibuMax,style.abvMin,style.abvMax,style.srmMin,style.srmMax,style.ogMin,style.fgMin,style.fgMax,style.createDate,style.updateDate,style.ogMax,ibu,style.category.description,style.category.updateDate
ARtfG8,Milwaukee's Best Light,Milwaukee's Best Light,4.1,1.0,94,N,verified,Verified,2012-01-03 02:43:42,2019-07-10 19:28:08,https://brewerydb-images.s3.amazonaws.com/beer/ARtfG8/upload_hXpovO-icon.png,https://brewerydb-images.s3.amazonaws.com/beer/ARtfG8/upload_hXpovO-medium.png,https://brewerydb-images.s3.amazonaws.com/beer/ARtfG8/upload_hXpovO-large.png,https://brewerydb-images.s3.amazonaws.com/beer/ARtfG8/upload_hXpovO-contentAwareIcon.png,https://brewerydb-images.s3.amazonaws.com/beer/ARtfG8/upload_hXpovO-contentAwareMedium.png,https://brewerydb-images.s3.amazonaws.com/beer/ARtfG8/upload_hXpovO-contentAwareLarge.png,1.0,Year Round,Available year round as a staple beer.,94,8,8,North American Lager,2012-03-21 20:06:46,American-Style Light (Low Calorie) Lager,American Light Lager,"These beers are extremely light colored, light in body, and high in carbonation. Calorie level should not exceed 125 per 12 ounce serving. Corn, rice, or other grain or sugar adjuncts are often used. Flavor is mild and hop bitterness and aroma is negligible to very low. Light fruity esters are acceptable. Chill haze and diacetyl should be absent.",5,10,3.5,4.4,2,4,1.024,1.002,1.008,2012-03-21 20:06:46,2015-04-07 15:39:35,,,,
6qc3Dy,Olde English 800,Olde English 800,5.9,1.0,100,N,verified,Verified,2012-01-03 02:43:52,2019-07-10 20:00:12,https://brewerydb-images.s3.amazonaws.com/beer/6qc3Dy/upload_agi4fa-icon.png,https://brewerydb-images.s3.amazonaws.com/beer/6qc3Dy/upload_agi4fa-medium.png,https://brewerydb-images.s3.amazonaws.com/beer/6qc3Dy/upload_agi4fa-large.png,https://brewerydb-images.s3.amazonaws.com/beer/6qc3Dy/upload_agi4fa-contentAwareIcon.png,https://brewerydb-images.s3.amazonaws.com/beer/6qc3Dy/upload_agi4fa-contentAwareMedium.png,https://brewerydb-images.s3.amazonaws.com/beer/6qc3Dy/upload_agi4fa-contentAwareLarge.png,1.0,Year Round,Available year round as a staple beer.,100,8,8,North American Lager,2012-03-21 20:06:46,American-Style Malt Liquor,Malt Liquor,"High in starting gravity and alcoholic strength, this style is somewhat diverse. Some American malt liquors are just slightly stronger than American lagers, while others approach bock strength. Some residual sweetness is perceived. Hop rates are very low, contributing little bitterness and virtually no hop aroma or flavor. Perception of sweet-fruity esters and complex alcohols (though not solvent-like) are acceptable at low levels. Chill haze and diacetyl should not be perceived.",12,23,6.25,7.5,2,5,1.05,1.004,1.01,2012-03-21 20:06:46,2015-04-07 15:41:16,,,,
cDFKpA,Pine in the Neck,Pine in the Neck,7.5,,30,N,verified,Verified,2014-01-16 18:35:28,2015-12-17 08:11:10,https://brewerydb-images.s3.amazonaws.com/beer/cDFKpA/upload_Ir2y0e-icon.png,https://brewerydb-images.s3.amazonaws.com/beer/cDFKpA/upload_Ir2y0e-medium.png,https://brewerydb-images.s3.amazonaws.com/beer/cDFKpA/upload_Ir2y0e-large.png,https://brewerydb-images.s3.amazonaws.com/beer/cDFKpA/upload_Ir2y0e-contentAwareIcon.png,https://brewerydb-images.s3.amazonaws.com/beer/cDFKpA/upload_Ir2y0e-contentAwareMedium.png,https://brewerydb-images.s3.amazonaws.com/beer/cDFKpA/upload_Ir2y0e-contentAwareLarge.png,,,,30,3,3,North American Origin Ales,2012-03-21 20:06:45,American-Style India Pale Ale,American IPA,"American-style India pale ales are perceived to have medium-high to intense hop bitterness, flavor and aroma with medium-high alcohol content. The style is further characterized by floral, fruity, citrus-like, piney, resinous, or sulfur-like American-variety hop character. Note that one or more of these American-variety hop characters is the perceived end, but the hop characters may be a result of the skillful use of hops of other national origins. The use of water with high mineral content results in a crisp, dry beer. This pale gold to deep copper-colored ale has a full, flowery hop aroma and may have a strong hop flavor (in addition to the perception of hop bitterness). India pale ales possess medium maltiness which contributes to a medium body. Fruity-ester flavors and aromas are moderate to very strong. Diacetyl can be absent or may be perceived at very low levels. Chill and/or hop haze is allowable at cold temperatures. (English and citrus-like American hops are considered enough of a distinction justifying separate American-style IPA and English-style IPA categories or subcategories. Hops of other origins may be used for bitterness or approximating traditional American or English character. See English-style India Pale Ale",50,70,6.3,7.5,6,14,1.06,1.012,1.018,2012-03-21 20:06:45,2015-04-07 15:26:37,,,,
0U17DM,Proximity,Proximity,8.5,,125,N,verified,Verified,2014-07-17 14:18:08,2014-07-17 14:18:08,,,,,,,,,,125,11,11,Hybrid/mixed Beer,2012-03-21 20:06:46,Specialty Beer,Specialty,"These beers are brewed using unusual fermentable sugars, grains and starches that contribute to alcohol content other than, or in addition to, malted barley. Nuts generally have some degree of fermentables, thus beers brewed with nuts would appropriately be entered in this category. The distinctive characters of these special ingredients should be evident either in the aroma, flavor or overall balance of the beer, but not necessarily in overpowering quantities. For example, maple syrup or potatoes would be considered unusual. Rice, corn, or wheat are not considered unusual. Special ingredients must be listed when competing. A statement by the brewer explaining the special nature of the beer, ingredient(s) and achieved character is essential in order for fair assessment in competitions. If this beer is a classic style with some specialty ingredient(s), the brewer should also specify the classic style. Guidelines for competing: Spiced beers using unusual fermentables should be entered in the experimental category. Fruit beers using unusual fermentables should be entered in the fruit beer category.",,100,2.5,25,1,100,1.03,1.006,1.03,2012-03-21 20:06:46,2015-04-07 15:44:53,,,,
FtRclf,Red Dog,Red Dog,4.8,,93,N,verified,Verified,2012-01-03 02:44:03,2019-07-10 19:57:16,https://brewerydb-images.s3.amazonaws.com/beer/FtRclf/upload_RasFVh-icon.png,https://brewerydb-images.s3.amazonaws.com/beer/FtRclf/upload_RasFVh-medium.png,https://brewerydb-images.s3.amazonaws.com/beer/FtRclf/upload_RasFVh-large.png,https://brewerydb-images.s3.amazonaws.com/beer/FtRclf/upload_RasFVh-contentAwareIcon.png,https://brewerydb-images.s3.amazonaws.com/beer/FtRclf/upload_RasFVh-contentAwareMedium.png,https://brewerydb-images.s3.amazonaws.com/beer/FtRclf/upload_RasFVh-contentAwareLarge.png,,,,93,8,8,North American Lager,2012-03-21 20:06:46,American-Style Lager,American Lager,"Light in body and very light to straw in color, American lagers are very clean and crisp and aggressively carbonated. Flavor components should b e subtle and complex, with no one ingredient dominating the others. Malt sweetness is light to mild. Corn, rice, or other grain or sugar adjuncts are often used. Hop bitterness, flavor and aroma are negligible to very light. Light fruity esters are acceptable. Chill haze and diacetyl should be absent.",5,13,3.8,5,2,4,1.04,1.006,1.01,2012-03-21 20:06:46,2015-04-07 15:39:26,,,,
WGDc9X,Rounder Belgian Pale Ale,Rounder Belgian Pale Ale,5.6,1.0,62,N,verified,Verified,2012-10-24 13:43:21,2015-12-16 18:59:24,https://brewerydb-images.s3.amazonaws.com/beer/WGDc9X/upload_F0XnTM-icon.png,https://brewerydb-images.s3.amazonaws.com/beer/WGDc9X/upload_F0XnTM-medium.png,https://brewerydb-images.s3.amazonaws.com/beer/WGDc9X/upload_F0XnTM-large.png,https://brewerydb-images.s3.amazonaws.com/beer/WGDc9X/upload_F0XnTM-contentAwareIcon.png,https://brewerydb-images.s3.amazonaws.com/beer/WGDc9X/upload_F0XnTM-contentAwareMedium.png,https://brewerydb-images.s3.amazonaws.com/beer/WGDc9X/upload_F0XnTM-contentAwareLarge.png,1.0,Year Round,Available year round as a staple beer.,62,5,5,Belgian And French Origin Ales,2012-03-21 20:06:46,Belgian-Style Pale Ale,Belgian Pale,"Belgian-style pale ales are characterized by low but noticeable hop bitterness, flavor, and aroma. Light to medium body and low malt aroma are typical. They are light amber to deep amber in color. Noble-type hops are commonly used. Low to medium fruity esters are evident in aroma and flavor. Low levels of phenolic spiciness from yeast byproducts may be perceived. Low caramel or toasted malt flavor is okay. Diacetyl should not be perceived. Chill haze is allowable at cold temperatures.",20,30,4,6,6,12,1.044,1.008,1.014,2012-03-21 20:06:46,2015-04-07 15:32:06,,30,,
JzTfzY,Sharp's,Sharp's,0,1.0,139,N,verified,Verified,2013-04-30 23:25:03,2019-07-12 15:04:07,https://brewerydb-images.s3.amazonaws.com/beer/JzTfzY/upload_k4GULw-icon.png,https://brewerydb-images.s3.amazonaws.com/beer/JzTfzY/upload_k4GULw-medium.png,https://brewerydb-images.s3.amazonaws.com/beer/JzTfzY/upload_k4GULw-large.png,https://brewerydb-images.s3.amazonaws.com/beer/JzTfzY/upload_k4GULw-contentAwareIcon.png,https://brewerydb-images.s3.amazonaws.com/beer/JzTfzY/upload_k4GULw-contentAwareMedium.png,https://brewerydb-images.s3.amazonaws.com/beer/JzTfzY/upload_k4GULw-contentAwareLarge.png,1.0,Year Round,Available year round as a staple beer.,139,11,11,Hybrid/mixed Beer,2012-03-21 20:06:46,Non-Alcoholic (Beer) Malt Beverages,Non-Alcoholic,Non-alcoholic (NA) malt beverages should emulate the character of a previously listed category/subcategory designation but without the alcohol (less than 0.5 percent). Non-alcoholic (beer) malt beverages will inherently have a profile lacking the complexity and balance of flavors which can be attributed to alcohol. They should accordingly not be assessed negatively for reasons related to the absence of alcohol.,,,,,,,,,,2012-03-21 20:06:46,2015-04-07 15:47:18,,,,
sww4Yo,Sparks,Sparks,6,1.0,161,N,verified,Verified,2014-07-10 14:39:50,2019-07-12 15:07:22,,,,,,,1.0,Year Round,Available year round as a staple beer.,161,14,14,Malternative Beverages,2014-07-10 14:11:26,Flavored Malt Beverage,Flavored Malt Beverage,"Flavored malt beverages are brewery products that are different from traditional malt beverages like malt liquor, ales, and lagers in several aspects. Flavored malt beverages exhibit little or no traditional beer or malt beverage flavor characteristics. Their flavor is primarily derived from added flavoring rather than from malt and other materials used in fermentation. However,  flavored malt beverages are marketed in traditional beer bottles and cans and distributed to the alcohol beverage market through beer and malt beverage wholesalers. Their alcohol content is similar to other malt beverages – in the range of 4-6% alcohol by volume.",,,4,6,,,,,,2014-07-10 14:15:20,2015-04-07 15:49:43,,,"Malternative Beverages, also known as ""ready-to-drink"" beverages, are sweet, sometime carbonated, beverages that are low in alcohol.",2014-07-10 14:20:24
ju6V17,Sparks Blackberry,Sparks Blackberry,8,1.0,161,N,verified,Verified,2014-07-10 14:41:14,2019-07-12 15:08:11,,,,,,,1.0,Year Round,Available year round as a staple beer.,161,14,14,Malternative Beverages,2014-07-10 14:11:26,Flavored Malt Beverage,Flavored Malt Beverage,"Flavored malt beverages are brewery products that are different from traditional malt beverages like malt liquor, ales, and lagers in several aspects. Flavored malt beverages exhibit little or no traditional beer or malt beverage flavor characteristics. Their flavor is primarily derived from added flavoring rather than from malt and other materials used in fermentation. However,  flavored malt beverages are marketed in traditional beer bottles and cans and distributed to the alcohol beverage market through beer and malt beverage wholesalers. Their alcohol content is similar to other malt beverages – in the range of 4-6% alcohol by volume.",,,4,6,,,,,,2014-07-10 14:15:20,2015-04-07 15:49:43,,,"Malternative Beverages, also known as ""ready-to-drink"" beverages, are sweet, sometime carbonated, beverages that are low in alcohol.",2014-07-10 14:20:24
VGesiF,Sparks Iced Tea,Sparks Iced Tea,8,1.0,161,N,verified,Verified,2014-07-10 14:40:11,2014-07-10 14:40:11,,,,,,,1.0,Year Round,Available year round as a staple beer.,161,14,14,Malternative Beverages,2014-07-10 14:11:26,Flavored Malt Beverage,Flavored Malt Beverage,"Flavored malt beverages are brewery products that are different from traditional malt beverages like malt liquor, ales, and lagers in several aspects. Flavored malt beverages exhibit little or no traditional beer or malt beverage flavor characteristics. Their flavor is primarily derived from added flavoring rather than from malt and other materials used in fermentation. However,  flavored malt beverages are marketed in traditional beer bottles and cans and distributed to the alcohol beverage market through beer and malt beverage wholesalers. Their alcohol content is similar to other malt beverages – in the range of 4-6% alcohol by volume.",,,4,6,,,,,,2014-07-10 14:15:20,2015-04-07 15:49:43,,,"Malternative Beverages, also known as ""ready-to-drink"" beverages, are sweet, sometime carbonated, beverages that are low in alcohol.",2014-07-10 14:20:24
7aNgrg,Sparks Lemonade,Sparks Lemonade,8,1.0,161,N,verified,Verified,2014-07-10 14:40:51,2014-07-10 14:40:52,,,,,,,1.0,Year Round,Available year round as a staple beer.,161,14,14,Malternative Beverages,2014-07-10 14:11:26,Flavored Malt Beverage,Flavored Malt Beverage,"Flavored malt beverages are brewery products that are different from traditional malt beverages like malt liquor, ales, and lagers in several aspects. Flavored malt beverages exhibit little or no traditional beer or malt beverage flavor characteristics. Their flavor is primarily derived from added flavoring rather than from malt and other materials used in fermentation. However,  flavored malt beverages are marketed in traditional beer bottles and cans and distributed to the alcohol beverage market through beer and malt beverage wholesalers. Their alcohol content is similar to other malt beverages – in the range of 4-6% alcohol by volume.",,,4,6,,,,,,2014-07-10 14:15:20,2015-04-07 15:49:43,,,"Malternative Beverages, also known as ""ready-to-drink"" beverages, are sweet, sometime carbonated, beverages that are low in alcohol.",2014-07-10 14:20:24
P7vtUN,Steel Reserve BLK Berry,Steel Reserve BLK Berry,8,1.0,93,N,verified,Verified,2014-06-17 20:39:35,2019-07-12 15:10:13,https://brewerydb-images.s3.amazonaws.com/beer/P7vtUN/upload_8MWanE-icon.png,https://brewerydb-images.s3.amazonaws.com/beer/P7vtUN/upload_8MWanE-medium.png,https://brewerydb-images.s3.amazonaws.com/beer/P7vtUN/upload_8MWanE-large.png,https://brewerydb-images.s3.amazonaws.com/beer/P7vtUN/upload_8MWanE-contentAwareIcon.png,https://brewerydb-images.s3.amazonaws.com/beer/P7vtUN/upload_8MWanE-contentAwareMedium.png,https://brewerydb-images.s3.amazonaws.com/beer/P7vtUN/upload_8MWanE-contentAwareLarge.png,1.0,Year Round,Available year round as a staple beer.,93,8,8,North American Lager,2012-03-21 20:06:46,American-Style Lager,American Lager,"Light in body and very light to straw in color, American lagers are very clean and crisp and aggressively carbonated. Flavor components should b e subtle and complex, with no one ingredient dominating the others. Malt sweetness is light to mild. Corn, rice, or other grain or sugar adjuncts are often used. Hop bitterness, flavor and aroma are negligible to very light. Light fruity esters are acceptable. Chill haze and diacetyl should be absent.",5,13,3.8,5,2,4,1.04,1.006,1.01,2012-03-21 20:06:46,2015-04-07 15:39:26,,,,
moD5Kw,Steel Reserve High Gravity 6.0,Steel Reserve High Gravity 6.0,6,,93,N,verified,Verified,2014-06-17 20:37:52,2019-07-12 15:10:59,,,,,,,,,,93,8,8,North American Lager,2012-03-21 20:06:46,American-Style Lager,American Lager,"Light in body and very light to straw in color, American lagers are very clean and crisp and aggressively carbonated. Flavor components should b e subtle and complex, with no one ingredient dominating the others. Malt sweetness is light to mild. Corn, rice, or other grain or sugar adjuncts are often used. Hop bitterness, flavor and aroma are negligible to very light. Light fruity esters are acceptable. Chill haze and diacetyl should be absent.",5,13,3.8,5,2,4,1.04,1.006,1.01,2012-03-21 20:06:46,2015-04-07 15:39:26,,,,
g284jn,Third Shift,Third Shift,5.3,1.0,101,N,verified,Verified,2013-08-14 19:24:46,2016-02-09 15:39:30,https://brewerydb-images.s3.amazonaws.com/beer/g284jn/upload_4lw3fa-icon.png,https://brewerydb-images.s3.amazonaws.com/beer/g284jn/upload_4lw3fa-medium.png,https://brewerydb-images.s3.amazonaws.com/beer/g284jn/upload_4lw3fa-large.png,https://brewerydb-images.s3.amazonaws.com/beer/g284jn/upload_4lw3fa-contentAwareIcon.png,https://brewerydb-images.s3.amazonaws.com/beer/g284jn/upload_4lw3fa-contentAwareMedium.png,https://brewerydb-images.s3.amazonaws.com/beer/g284jn/upload_4lw3fa-contentAwareLarge.png,1.0,Year Round,Available year round as a staple beer.,101,8,8,North American Lager,2012-03-21 20:06:46,American-Style Amber Lager,American Amber Lager,"American-style amber lagers are light amber to amber or copper colored. They are medium bodied. There is a noticeable degree of caramel-type malt character in flavor and often in aroma. This is a broad category in which the hop bitterness, flavor, and aroma may be accentuated or may only be present at relatively low levels, yet noticeable. Fruity esters, diacetyl, and chill haze should be absent.",18,30,4.8,5.4,6,14,1.042,1.01,1.018,2012-03-21 20:06:46,2015-04-07 15:41:26,,,,
3nOoHH,TK Lager,TK Lager,5.5,,32,N,verified,Verified,2015-01-07 22:15:16,2015-01-07 22:15:16,,,,,,,,,,32,3,3,North American Origin Ales,2012-03-21 20:06:45,American-Style Amber/Red Ale,Amber,"American amber/red ales range from light copper to light brown in color. They are characterized by American-variety hops used to produce the perception of medium hop bitterness, flavor, and medium aroma. Amber ales have medium-high to high maltiness with medium to low caramel character. They should have medium to medium-high body. The style may have low levels of fruityester flavor and aroma. Diacetyl can be either absent or barely perceived at very low levels. Chill haze is allowable at cold temperatures. Slight yeast haze is acceptable for bottle-conditioned products.",30,40,4.5,6,11,18,1.048,1.012,1.018,2012-03-21 20:06:45,2015-04-07 15:26:52,,,,
0toa5O,Zima Clear,Zima Clear,5,,161,N,verified,Verified,2012-01-03 02:44:34,2019-07-12 15:24:38,,,,,,,,,,161,14,14,Malternative Beverages,2014-07-10 14:11:26,Flavored Malt Beverage,Flavored Malt Beverage,"Flavored malt beverages are brewery products that are different from traditional malt beverages like malt liquor, ales, and lagers in several aspects. Flavored malt beverages exhibit little or no traditional beer or malt beverage flavor characteristics. Their flavor is primarily derived from added flavoring rather than from malt and other materials used in fermentation. However,  flavored malt beverages are marketed in traditional beer bottles and cans and distributed to the alcohol beverage market through beer and malt beverage wholesalers. Their alcohol content is similar to other malt beverages – in the range of 4-6% alcohol by volume.",,,4,6,,,,,,2014-07-10 14:15:20,2015-04-07 15:49:43,,,"Malternative Beverages, also known as ""ready-to-drink"" beverages, are sweet, sometime carbonated, beverages that are low in alcohol.",2014-07-10 14:20:24
